	SRR1927149	SRR1929485
PF00990 [Diguanylate cyclase, GGDEF domain]	47219	5112
PF00994 [Probable molybdopterin binding domain]	4468	790
PF00999 [Sodium/hydrogen exchanger family]	13756	3494
PF01000 [RNA polymerase Rpb3/RpoA insert domain]	4381	787
PF01008 [Initiation factor 2 subunit family]	736	145
PF01011 [PQQ enzyme repeat]	1410	270
PF01012 [Electron transfer flavoprotein domain]	5086	2166
PF01016 [Ribosomal L27 protein]	3120	762
PF01018 [GTP1/OBG]	3609	758
PF01019 [Gamma-glutamyltranspeptidase]	4058	263
PF01022 [Bacterial regulatory protein, arsR family]	2767	451
PF01025 [GrpE]	6210	1546
PF01026 [TatD related DNase]	8191	1870
PF01027 [Inhibitor of apoptosis-promoting Bax1]	2066	1012
PF01029 [NusB family]	7868	1310
PF01032 [FecCD transport family]	7952	1876
