	SRR1927149	SRR1929485
K01990	2997.313	1032.758
K01991	493.471	168.264
K01992	2547.59	744.02
K01993	696.523	228.836
K01994	21.291	4.003
K01995	383.0035	150.5555
K01996	392.388	166.059
K01997	456.904	181.297
K01998	384.7685	170.2925
K01999	476.855	164.715
K02000	20.462	12.492
K02001	15.066	10.067
K02002	18.43	12.94
K02003	2932.3675	1097.783
K02004	4627.9055	1876.458
K02005	1456.463	683.445
K02006	34.062	8.003
K02007	26.398	20.683
K02008	12.394	9.531
K02010	317.502	77.422
K02011	459.716	146.43
K02012	361.662	83.113
K02013	1015.664	262.468
K02014	2937.353	1359.932
K02015	872.406	219.305
K02016	1023.753	332.544
K02017	25.142	23.064
K02018	34.779	31.49
K02019	58.583	11.421
K02020	54.591	38.145
K02021	3.602	0
K02022	53.061	9.378
K02024	2509.062	43.36
K02025	806.175	189.263
K02026	841.535	145.925
K02027	744.165	200.569
K02028	865.625999999999	331.475
K02029	878.579000000001	308.461
K02030	1560.383	512.77
K02031	466.614	98.274
K02032	446.373	96.849
K02033	590.386	126.345
K02034	465.179	121.927
K02035	811.486	192.18
K02036	537.228	146.109
K02037	502.7495	112.2915
K02038	512.2505	124.6935
K02039	293.031	90.799
K02040	818.188	251.622
K02041	38.541	12.323
K02042	69.256	23.501
K02043	0.631	2.843
K02044	64.717	33.484
K02045	15.848	24.327
K02046	17.915	27.651
K02047	16.632	20.693
K02048	20.125	31.834
K02049	354.476	59.219
K02050	441.255	74.257
K02051	532.451	89.517
K02052	49.73	17.156
K02053	46.437	8.661
K02054	7.369	8.009
K02055	53.707	8.702
K02056	870.682	255.11
K02057	1334.455	367.325
K02058	288.485	69.383
K02062	21.703	6.068
K02063	17.219	14.474
K02064	18.229	10.24
K02065	566.296	142.57
K02066	567.34	136.503
K02067	558.022	143.531
K02068	39.987	12.218
K02069	29.439	15.131
K02071	708.801	118.26
K02072	596.47	95.09
K02073	828.055	171.245
K02074	258.798	2.231
K02075	256.025	2.221
K02077	257.74	1.621
K02078	1843.786	385.541
K02079	0.546	5.726
K02080	1.464	12.389
K02081	134.927	60.439
K02082	21.277	48.953
K02083	20.581	17.392
K02086	35.473	12.357
